id,partnerid,sessionid,ageyo,sex,ethnicity,rfattrac,rkindunder,sim_manuallandmarks,avg_manuallandmarks,LD1_manuallandmarks,year,ethnicityhighgroup,partnerclass_hg,ethnicmatch_hg,partnermasc_LDA_manuallandmarks,sim_NN,sim_autolandmarks,LD1_autolandmarks,gsd_autolandmarked,pitch_angle,roll_angle,yaw_angle,avg_NN,LD_NN,gsd_NN,gsd_manuallandmarks,avg_autolandmark
14000032,14001032,1403,17.83333,1,Asian,5,5,-0.080518075,-0.08609756,2.493776158,2014,Asian,Caucasian,-1,-1.213619301,-791.5246776,-0.07445872,2.288959064,2.252991301,-0.80149275,-2.5205479,4.3209543,-443.4375292,3.223697416,1.330228663,2.374124746,-0.046305553
14000032,14001033,1403,17.83333,1,Asian,7,7,-0.054816479,-0.08609756,2.493776158,2014,Asian,Caucasian,-1,-0.463715732,-951.7939217,-0.057188515,2.288959064,2.252991301,-0.80149275,-2.5205479,4.3209543,-443.4375292,3.223697416,1.330228663,2.374124746,-0.046305553
14000032,14001034,1403,17.83333,1,Asian,5,5,-0.065049394,-0.08609756,2.493776158,2014,Asian,Asian,1,-0.586310348,-708.8910719,-0.076524592,2.288959064,2.252991301,-0.80149275,-2.5205479,4.3209543,-443.4375292,3.223697416,1.330228663,2.374124746,-0.046305553
14000032,14001035,1403,17.83333,1,Asian,5,6,-0.0844017,-0.08609756,2.493776158,2014,Asian,Caucasian,-1,-1.167108313,-726.0550532,-0.087723575,2.288959064,2.252991301,-0.80149275,-2.5205479,4.3209543,-443.4375292,3.223697416,1.330228663,2.374124746,-0.046305553
14000033,14001031,1403,24.75,1,Asian,3,6,-0.085757448,-0.056357054,1.235461427,2014,Asian,Caucasian,-1,-0.444543958,-954.1983894,-0.05123616,1.578476115,1.080755358,-1.793489,-1.9005506,5.501458,-510.0919338,4.312616932,1.49474309,2.319198139,-0.037410101
14000033,14001032,1403,24.75,1,Asian,4,5,-0.10593503,-0.056357054,1.235461427,2014,Asian,Caucasian,-1,-1.213619301,-695.5214183,-0.05870911,1.578476115,1.080755358,-1.793489,-1.9005506,5.501458,-510.0919338,4.312616932,1.49474309,2.319198139,-0.037410101
14000033,14001033,1403,24.75,1,Asian,5,6,-0.084562965,-0.056357054,1.235461427,2014,Asian,Caucasian,-1,-0.463715732,-961.2616232,-0.036475466,1.578476115,1.080755358,-1.793489,-1.9005506,5.501458,-510.0919338,4.312616932,1.49474309,2.319198139,-0.037410101
14000033,14001034,1403,24.75,1,Asian,NA,NA,-0.070069434,-0.056357054,1.235461427,2014,Asian,Asian,1,-0.586310348,-783.8490956,-0.059168675,1.578476115,1.080755358,-1.793489,-1.9005506,5.501458,-510.0919338,4.312616932,1.49474309,2.319198139,-0.037410101
14000033,14001035,1403,24.75,1,Asian,2,4,-0.092455471,-0.056357054,1.235461427,2014,Asian,Caucasian,-1,-1.167108313,-798.8900523,-0.074582149,1.578476115,1.080755358,-1.793489,-1.9005506,5.501458,-510.0919338,4.312616932,1.49474309,2.319198139,-0.037410101
14000035,14001031,1403,18.08333,1,Sri Lankan/South East Asian,4,4,-0.081204552,-0.075402014,0.726806146,2014,Asian,Caucasian,-1,-0.444543958,-1000.397623,-0.074070588,1.883396988,2.072939205,-2.0935366,1.5421115,-2.8060389,-640.8095892,3.387682078,1.120182491,2.017420684,-0.050728541
